course_name,course_description,course_benefits,course_start_date_or_last_enrollment_date,professor_name,course_duration,course_fee_physical,course_fee_online,course_fee_hibernate,enrollment_status,mode_of_courses,online_available,physical_available,location_islamabad,location_karachi,location_lahore
Advance Taxation & Litigations,"𝟏- 𝐁𝐚𝐬𝐢𝐜 𝐈𝐧𝐭𝐫𝐨𝐝𝐮𝐜𝐭𝐢𝐨𝐧
𝟐- 𝐑𝐞𝐩𝐥𝐢𝐞𝐬 𝐨𝐟 𝐍𝐨𝐭𝐢𝐜𝐞𝐬 𝐮𝐧𝐝𝐞𝐫 𝐃𝐢𝐟𝐟𝐞𝐫𝐞𝐧𝐭 𝐏𝐫𝐨𝐯𝐢𝐬𝐢𝐨𝐧𝐬 𝐨𝐟 𝐭𝐡𝐞 𝐎𝐫𝐝𝐢𝐧𝐚𝐧𝐜𝐞
𝟑- 𝐅𝐢𝐥𝐢𝐧𝐠 𝐨𝐟 𝐀𝐩𝐩𝐞𝐚𝐥𝐬 𝐨𝐧 𝐃𝐢𝐟𝐟𝐞𝐫𝐞𝐧𝐭 𝐏𝐥𝐚𝐭𝐟𝐨𝐫𝐦𝐬
𝟒- 𝐅𝐢𝐥𝐢𝐧𝐠 𝐨𝐟 𝐃𝐢𝐟𝐟𝐞𝐫𝐞𝐧𝐭 𝐀𝐩𝐩𝐥𝐢𝐜𝐚𝐭𝐢𝐨𝐧𝐬
𝟓- 𝐖𝐢𝐭𝐡𝐡𝐨𝐥𝐝𝐢𝐧𝐠 𝐨𝐟 𝐈𝐧𝐜𝐨𝐦𝐞 𝐓𝐚𝐱, 𝐒𝐚𝐥𝐞𝐬 𝐓𝐚𝐱 𝐚𝐧𝐝 𝐏𝐫𝐨𝐯𝐢𝐧𝐜𝐢𝐚𝐥 𝐒𝐚𝐥𝐞𝐬 𝐓𝐚𝐱
𝟔- 𝐂𝐨𝐦𝐩𝐥𝐢𝐚𝐧𝐜𝐞𝐬 𝐔𝐧𝐝𝐞𝐫 𝐈𝐓𝐎 𝟐𝟎𝟎𝟏
𝟕- 𝐂𝐨𝐦𝐩𝐥𝐢𝐚𝐧𝐜𝐞𝐬 𝐔𝐧𝐝𝐞𝐫 𝐒𝐚𝐥𝐞𝐬 𝐓𝐚𝐱 𝐀𝐜𝐭 𝟏𝟗𝟗𝟎","• Handle complex tax disputes and litigation
• Represent clients before tax authorities
• Expert-level tax planning and compliance
• Ideal for lawyers and senior tax professionals","January 28, 2026","Mr. Rai Basharat Ali ",3 months (12 weeks),"60,000 PKR",,,Open,Online,Yes,No,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Canadian Taxation Course,"𝙋𝙚𝙧𝙨𝙤𝙣𝙖𝙡 𝙏𝙖𝙭𝙖𝙩𝙞𝙤𝙣 - 𝙏𝟭
𝘾𝙤𝙧𝙥𝙤𝙧𝙖𝙩𝙚 𝙏𝙖𝙭𝙖𝙩𝙞𝙤𝙣 - 𝙏𝟮
𝙀𝙨𝙩𝙖𝙩𝙚 𝙍𝙚𝙩𝙪𝙧𝙣𝙨 - 𝙏𝟯
𝙂𝙎𝙏/𝙃𝙎𝙏 (𝙍𝙚𝙩𝙪𝙧𝙣)
𝙋𝙧𝙖𝙘𝙩𝙞𝙘𝙚 𝙋𝙤𝙧𝙩𝙖𝙡 (𝙏𝙖𝙭 𝙋𝙧𝙚𝙥 𝙎𝙤𝙛𝙩𝙬𝙖𝙧𝙚)","• Canadian tax system (Federal, Provincial)
• Work with Canadian clients remotely
• Immigration and tax implications
• Growing demand for Canada tax experts","February 15, 2026",Mr. Naseerudin,3 months (12 weeks),"72,000 PKR",,,Open,Online,Yes,No,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Certified Tax Advisor - Islamabad,"𝗜𝗻𝗰𝗼𝗺𝗲 𝗧𝗮𝘅
𝗦𝗮𝗹𝗲𝘀 𝗧𝗮𝘅
𝗦𝗘𝗖𝗣 𝗮𝗻𝗱 𝗖𝗼𝗿𝗽𝗼𝗿𝗮𝘁𝗲 𝗙𝗶𝗹𝗶𝗻𝗴𝘀
𝗕𝗮𝘀𝗶𝗰 𝗔𝗰𝗰𝗼𝘂𝗻𝘁𝗶𝗻𝗴
𝗧𝗿𝗮𝗱𝗲 𝗠𝗮𝗿𝗸 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻
𝗖𝗵𝗮𝗺𝗯𝗲𝗿 𝗼𝗳 𝗖𝗼𝗺𝗺𝗲𝗿𝗰𝗲
𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻 𝘄𝗶𝘁𝗵 𝗣𝗦𝗘𝗕
𝗜𝗺𝗽𝗼𝗿𝘁 𝗘𝘅𝗽𝗼𝗿𝘁 𝗟𝗶𝗰𝗲𝗻𝗰𝗲","• Master Pakistani tax laws (Income Tax, Sales Tax, FBR)
• File tax returns and handle audits
• Work as certified tax consultant
• High demand in accounting firms and corporate sector","January 20, 2026","Mr. Rai Basharat Ali ",4 months (16 weeks),"60,000 PKR",,,Open,Online and Physical,Yes,Yes,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Certified Tax Advisor - Karachi,"𝗜𝗻𝗰𝗼𝗺𝗲 𝗧𝗮𝘅
𝗦𝗮𝗹𝗲𝘀 𝗧𝗮𝘅
𝗦𝗘𝗖𝗣 𝗮𝗻𝗱 𝗖𝗼𝗿𝗽𝗼𝗿𝗮𝘁𝗲 𝗙𝗶𝗹𝗶𝗻𝗴𝘀
𝗕𝗮𝘀𝗶𝗰 𝗔𝗰𝗰𝗼𝘂𝗻𝘁𝗶𝗻𝗴
𝗧𝗿𝗮𝗱𝗲 𝗠𝗮𝗿𝗸 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻
𝗖𝗵𝗮𝗺𝗯𝗲𝗿 𝗼𝗳 𝗖𝗼𝗺𝗺𝗲𝗿𝗰𝗲
𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻 𝘄𝗶𝘁𝗵 𝗣𝗦𝗘𝗕
𝗜𝗺𝗽𝗼𝗿𝘁 𝗘𝘅𝗽𝗼𝗿𝘁 𝗟𝗶𝗰𝗲𝗻𝗰𝗲","• Master Pakistani tax laws (Income Tax, Sales Tax, FBR)
• File tax returns and handle audits
• Work as certified tax consultant
• High demand in accounting firms and corporate sector",23 December,Mr. Shaheer Mirza,4 months (16 weeks),"60,000 PKR",,,Open,Online and Physical,Yes,Yes,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Certified Tax Advisor - Lahore,"𝗜𝗻𝗰𝗼𝗺𝗲 𝗧𝗮𝘅
𝗦𝗮𝗹𝗲𝘀 𝗧𝗮𝘅
𝗦𝗘𝗖𝗣 𝗮𝗻𝗱 𝗖𝗼𝗿𝗽𝗼𝗿𝗮𝘁𝗲 𝗙𝗶𝗹𝗶𝗻𝗴𝘀
𝗕𝗮𝘀𝗶𝗰 𝗔𝗰𝗰𝗼𝘂𝗻𝘁𝗶𝗻𝗴
𝗧𝗿𝗮𝗱𝗲 𝗠𝗮𝗿𝗸 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻
𝗖𝗵𝗮𝗺𝗯𝗲𝗿 𝗼𝗳 𝗖𝗼𝗺𝗺𝗲𝗿𝗰𝗲
𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻 𝘄𝗶𝘁𝗵 𝗣𝗦𝗘𝗕
𝗜𝗺𝗽𝗼𝗿𝘁 𝗘𝘅𝗽𝗼𝗿𝘁 𝗟𝗶𝗰𝗲𝗻𝗰𝗲","• Master Pakistani tax laws (Income Tax, Sales Tax, FBR)
• File tax returns and handle audits
• Work as certified tax consultant
• High demand in accounting firms and corporate sector","January 20, 2026",Mr. Hassan Mehmood,4 months (16 weeks),"60,000 PKR",,,Open,Online and Physical,Yes,Yes,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Certified Tax Advisor - Online,"𝗜𝗻𝗰𝗼𝗺𝗲 𝗧𝗮𝘅
𝗦𝗮𝗹𝗲𝘀 𝗧𝗮𝘅
𝗦𝗘𝗖𝗣 𝗮𝗻𝗱 𝗖𝗼𝗿𝗽𝗼𝗿𝗮𝘁𝗲 𝗙𝗶𝗹𝗶𝗻𝗴𝘀
𝗕𝗮𝘀𝗶𝗰 𝗔𝗰𝗰𝗼𝘂𝗻𝘁𝗶𝗻𝗴
𝗧𝗿𝗮𝗱𝗲 𝗠𝗮𝗿𝗸 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻
𝗖𝗵𝗮𝗺𝗯𝗲𝗿 𝗼𝗳 𝗖𝗼𝗺𝗺𝗲𝗿𝗰𝗲
𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗥𝗲𝗴𝗶𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻 𝘄𝗶𝘁𝗵 𝗣𝗦𝗘𝗕
𝗜𝗺𝗽𝗼𝗿𝘁 𝗘𝘅𝗽𝗼𝗿𝘁 𝗟𝗶𝗰𝗲𝗻𝗰𝗲 course deial , deutenr ","• Master Pakistani tax laws (Income Tax, Sales Tax, FBR)
• File tax returns and handle audits
• Work as certified tax consultant
• High demand in accounting firms and corporate sector","January 20, 2026","Mr. Rai Basharat Ali ",4 months (16 weeks),"60,000 PKR",,,Open,Online and Physical,Yes,Yes,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Company Secretary & Secretarial Practices,"𝘾𝙤𝙢𝙥𝙖𝙣𝙮 𝙄𝙣𝙘𝙤𝙧𝙥𝙤𝙧𝙖𝙩𝙞𝙤𝙣
𝙋𝙤𝙨𝙩 𝙄𝙣𝙘𝙤𝙧𝙥𝙤𝙧𝙖𝙩𝙞𝙤𝙣 𝘾𝙤𝙢𝙥𝙡𝙞𝙖𝙣𝙘𝙚
𝙁𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣 𝙤𝙛 𝙎𝙥𝙚𝙘𝙞𝙖𝙡𝙞𝙯𝙚𝙙 𝘾𝙤𝙢𝙥𝙖𝙣𝙞𝙚𝙨
𝙏𝙧𝙖𝙙𝙚 𝙈𝙖𝙧𝙠 𝙍𝙚𝙜𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣
𝘾𝙝𝙖𝙢𝙗𝙚𝙧 𝙤𝙛 𝘾𝙤𝙢𝙢𝙚𝙧𝙘𝙚 𝙍𝙚𝙜𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣
𝙏𝙤𝙪𝙧𝙞𝙨𝙢 & 𝙏𝙞𝙘𝙠𝙚𝙩𝙞𝙣𝙜 𝙇𝙞𝙘𝙚𝙣𝙘𝙚
𝙋𝙎𝙀𝘽 & 𝙋𝙒𝙎 𝙍𝙚𝙜𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣","• Corporate governance and compliance mastery
• SECP filings and company formation
• Board meetings, AGM/EGM management
• Essential for corporate legal roles","January 25, 2026",Mr. Kamran Ahmed,3 months (12 weeks),"50,000 PKR",,,Open,Online,Yes,No,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Import and Export Course,"𝙍𝙚𝙜𝙪𝙡𝙖𝙩𝙤𝙧𝙮 𝙀𝙣𝙫𝙞𝙧𝙤𝙣𝙢𝙚𝙣𝙩
𝘾𝙝𝙤𝙤𝙨𝙞𝙣𝙜 𝙩𝙝𝙚 𝙍𝙞𝙜𝙝𝙩 𝙁𝙤𝙧𝙢 𝙤𝙛 𝘽𝙪𝙨𝙞𝙣𝙚𝙨𝙨
𝘽𝙖𝙣𝙠𝙞𝙣𝙜 𝙍𝙚𝙦𝙪𝙞𝙧𝙚𝙢𝙚𝙣𝙩𝙨
𝙎𝙝𝙞𝙥𝙥𝙞𝙣𝙜 𝙖𝙣𝙙 𝙇𝙤𝙜𝙞𝙨𝙩𝙞𝙘𝙨
𝙀𝙭𝙥𝙤𝙧𝙩 𝘿𝙤𝙘𝙪𝙢𝙚𝙣𝙩𝙖𝙩𝙞𝙤𝙣
𝙀𝙭𝙥𝙤𝙧𝙩 𝙋𝙧𝙤𝙘𝙚𝙙𝙪𝙧𝙚
𝙄𝙢𝙥𝙤𝙧𝙩 𝘿𝙤𝙘𝙪𝙢𝙚𝙣𝙩𝙖𝙩𝙞𝙤𝙣
𝙄𝙢𝙥𝙤𝙧𝙩 𝙋𝙧𝙤𝙘𝙚𝙙𝙪𝙧𝙚𝙨
𝘾𝙖𝙨𝙚 𝙎𝙩𝙪𝙙𝙮","• International trade documentation and procedures
• Customs clearance and compliance
• Import/Export regulations for Pakistan
• Essential for trading businesses and logistics","February 10, 2026",Mr. Hammad Aadi,2 months (8 weeks),"44,000 PKR",,,Open,Online,Yes,No,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
LLC Formation Course,"𝙇𝙇𝘾 𝙁𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣 (𝘿𝙞𝙛𝙛𝙚𝙧𝙚𝙣𝙩 𝙎𝙩𝙖𝙩𝙚𝙨)
𝙄𝙏𝙄𝙉 𝘾𝙧𝙚𝙖𝙩𝙞𝙤𝙣
𝙀𝙄𝙉 𝘾𝙧𝙚𝙖𝙩𝙞𝙤𝙣
𝘽𝙊𝙄 𝙁𝙞𝙡𝙞𝙣𝙜
𝘼𝙘𝙦𝙪𝙞𝙧𝙞𝙣𝙜 𝘽𝙪𝙨𝙞𝙣𝙚𝙨𝙨 𝘼𝙙𝙙𝙧𝙚𝙨𝙨 (𝙐𝙣𝙞𝙦𝙪𝙚 𝙖𝙣𝙙 𝙎𝙝𝙖𝙧𝙚𝙙)
𝙑𝙞𝙧𝙩𝙪𝙖𝙡 𝙋𝙖𝙮𝙢𝙚𝙣𝙩 𝙂𝙖𝙩𝙚𝙬𝙖𝙮𝙨 (𝙋𝙖𝙮𝙤𝙣𝙚𝙚𝙧, 𝙒𝙞𝙨𝙚, 𝙎𝙩𝙧𝙞𝙥𝙚)
𝙃𝙞𝙧𝙞𝙣𝙜 𝙍𝙚𝙜𝙞𝙨𝙩𝙚𝙧𝙚𝙙 𝘼𝙜𝙚𝙣𝙩
𝙎𝙖𝙡𝙚 𝙏𝙖𝙭 𝙍𝙚𝙜𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣
𝙎𝙚𝙡𝙡𝙚𝙧 𝙋𝙚𝙧𝙢𝙞𝙩
𝘾𝙖𝙡𝙡𝙞𝙣𝙜 𝙋𝙧𝙖𝙘𝙩𝙞𝙘𝙚 𝙬𝙞𝙩𝙝 𝙄𝙍𝙎
𝙎𝙩𝙖𝙩𝙚 𝙁𝙞𝙡𝙞𝙣𝙜𝙨
𝘼𝙣𝙣𝙪𝙖𝙡 𝙍𝙚𝙣𝙚𝙬𝙖𝙡𝙨 𝙖𝙣𝙙 𝙁𝙞𝙡𝙞𝙣𝙜𝙨","• Form companies in USA, UK, UAE, Canada
• Legal and tax implications of LLCs
• Help entrepreneurs set up international businesses
• Lucrative consultancy opportunity","February 3, 2026",Mr. Saad Waqar,1.5 months (6 weeks),"42,000 PKR",,,Open,Online,Yes,No,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
Pakistan Stock Exchange Course,"𝙎𝙩𝙤𝙘𝙠 𝙈𝙖𝙧𝙠𝙚𝙩 𝙀𝙘𝙤𝙨𝙮𝙨𝙩𝙚𝙢
𝙁𝙪𝙣𝙙𝙖𝙢𝙚𝙣𝙩𝙖𝙡𝙨 𝙤𝙛 𝙎𝙩𝙤𝙘𝙠 𝙈𝙖𝙧𝙠𝙚𝙩
𝙁𝙞𝙣𝙙𝙞𝙣𝙜 𝙁𝙖𝙞𝙧 𝙑𝙖𝙡𝙪𝙚 𝙐𝙨𝙞𝙣𝙜 𝘿𝙞𝙫𝙞𝙙𝙚𝙣𝙙 𝘿𝙞𝙨𝙘𝙤𝙪𝙣𝙩 𝙈𝙤𝙙𝙚𝙡
𝙋𝙧𝙞𝙣𝙘𝙞𝙥𝙡𝙚𝙨 𝙤𝙛 𝙏𝙚𝙘𝙝𝙣𝙞𝙘𝙖𝙡 𝘼𝙣𝙖𝙡𝙮𝙨𝙞𝙨
𝘾𝙖𝙣𝙙𝙡𝙚𝙨𝙩𝙞𝙘𝙠 𝙖𝙣𝙙 𝘾𝙝𝙖𝙧𝙩 𝙋𝙖𝙩𝙩𝙚𝙧𝙣𝙨
𝙏𝙧𝙚𝙣𝙙𝙡𝙞𝙣𝙚𝙨 𝙖𝙣𝙙 𝙈𝙤𝙫𝙞𝙣𝙜 𝘼𝙫𝙚𝙧𝙖𝙜𝙚𝙨
𝙄𝙣𝙙𝙞𝙘𝙖𝙩𝙤𝙧𝙨 𝙖𝙣𝙙 𝙏𝙤𝙤𝙡𝙨 𝙁𝙤𝙧 𝙏𝙧𝙖𝙙𝙞𝙣𝙜
𝙄𝙣𝙩𝙧𝙖𝙙𝙖𝙮 𝙏𝙧𝙖𝙙𝙞𝙣𝙜 𝙖𝙣𝙙 𝙍𝙞𝙨𝙠 𝘾𝙤𝙣𝙩𝙧𝙤𝙡
𝘾𝙝𝙖𝙧𝙩 𝘼𝙣𝙖𝙡𝙮𝙨𝙞𝙨 𝙖𝙣𝙙 𝙂𝙖𝙥 𝙎𝙩𝙧𝙖𝙩𝙚𝙜𝙮
𝙏𝙧𝙖𝙙𝙞𝙣𝙜 𝙋𝙨𝙮𝙘𝙝𝙤𝙡𝙤𝙜𝙮 𝙖𝙣𝙙 𝘿𝙖𝙞𝙡𝙮 𝙍𝙤𝙪𝙩𝙞𝙣𝙚
𝙏𝙧𝙖𝙞𝙣𝙚𝙧𝙨 𝙂𝙤𝙡𝙙𝙚𝙣 𝙎𝙩𝙧𝙖𝙩𝙚𝙜𝙮 𝙛𝙤𝙧 𝙎𝙩𝙤𝙘𝙠 𝙎𝙚𝙡𝙚𝙘𝙩𝙞𝙤𝙣","1. Gain a clear understanding of PSX fundamentals to confidently start investing.


2. Learn practical strategies to analyze stocks and build profitable portfolios.


3. Master technical charts and indicators used by professional traders.


4. Understand risks and learn how to protect your investments in volatile markets.


5. Get hands-on experience with live market simulations and real trading insights.",13 December 2026,Qazi Nabeel,2 Months (8 weeks),"45,000 PKR",,,Open,Online and Physical in ISlamabad,YES,Yes,"Plot No. 63, North Service Road, I-10/3, Islamabad"," Office No 504, 5th Floor,Caesar's Tower,opposite Aisha Bawany Academy,Main Shahrah e Faisal Karachi","5th Floor, Pace Shopping Mall, Model Town Link Road, Lahore"
